dosen,judul,abstrak,keyword
", Azizah Fatmawati, ST., M.Cs",Analisa Perbandingan Data Mining Pada Klasifikasi Penyakit Jantung Menggunakan Algoritma Extreme Learning Machine (Elm) Dan K-Nearest Neighbor (K-NN),"Heart”disease”is”type”of”non communicable disease which results in.a”high’mortality” rate. Heart disease is caused by.several.risk”factors.including”smoking, anunhealth.lifestyle,” high holesterol, ”hypertension,”and”diabetes. Based on’these facts, an”appropriate”algorithm& is needed”to”classify”heart disease as an effort to prevent n’increase’in”the”death”rate from heart”disease..The”algorithm.used is.expected to work accurately.in”the’classification”method. among”them,.there”aren two algorithm used, namely.the& Extreme.Learning”Machine&(ELM) algorithm and.the K-Nearest Neighbour (K-NN)/algorithm.7The1aim5is1to”compare”the”two algorithms, in.order5t determine.which”algorithm has the higher percentage”of accuracy in classifying heart1disease5data.%To3achieve2the1objectives of the study,7several%research methods were”carried”out,”namely data preprocessing with the”data collection stage,&data splitting”and data normalization followed by%the%ELM and K-NN”algorithm” methods at”the.data”processing stage..From”the”steps”that”have”bee” carried”out,.the”final’result”of the”Extreme Learning Machine2(ELM) algorithm obtained a7greater&accuracy& value&of 93.33%,”while”the K-Nearest”Neighbour (K-NN) algorithm1obtained1 an1accuracy value1of 83.52%. This’shows that”in”this study the Extreme Learning Machine (ELM) algorithm;works more”optimally2than7the”K-Nearest4Neighbour3(K-NN) algorithm in the”classification%of heart%disease data.","Data.Mining,.Extreme.Learning.Machine,,K-Nearest Neighbor, Penyakit.Jantung"
", Azizah Fatmawati, ST., M.Cs",Pengembangan Sistem Informasi Pelayanan Jasa PT. Indonesia Bumi Utama Berbasis Web,"Incorporated Company (PT) Indonesia Bumi Utama is a company engaged in telecommunications services located in the Surakarta area. This company for two years of operation has not had an information service system as a medium of information to the public. This problem is one of the causes for the company to experience time efficiency constraints in providing information services for telecommunications services to customers. This study aims to develop a service information service system for customers for PT. Indonesia Bumi Utama. The development of this system uses the waterfall method. These methods include, system requirements analysis, system design, system implementation, system testing and system maintenance. The result of this research is a service information system for customers of PT. Indonesia Bumi Utama web based . System feasibility testing is carried out by the developer using blackbox testing, from the results of these tests it is found that the system is running according to its function or it can be said the system has no errors/bugs.","indonesia bumi utama, sistem informasi, web."
", Dr., Ir. Bana Handaga, M.T.",Sistem Informasi Inventory  Pada Apotek Ayo Sehat Menggunakan Metode First-Expired First-Out(FEFO),"Ayo Sehat Pharmacy is a pharmacy that provides various types of drugs, supplements, medical devices and others. Management of warehouses and sales of goods with a clear administration is very necessary for a pharmacy because of the problems that often occur in pharmacies is the control of goods, the expiration of goods, so there must be detailed and clear data as a pharmacy reference to take action in business. Recording such as buying and selling transactions and also inventory of goods is very necessary but at the pharmacy let's get healthy all of that is still done manually which results in administrative management being less effective because it takes a lot of time in recording reports and also the possibility of errors and data loss. The purpose of this research is to develop an inventory information system at the pharmacy let's get healthy with the FEFO (first expired first out) method to facilitate the management of the pharmacy to be more effective and efficient as well as to be able to solve the problems that are obstacles to the pharmacy. The system development method uses the waterfall method consisting of requirements analysis, design, coding, testing, and application. Some software used for development are PHP, MySql, Visual Code Studio, CSS, Javascript, and CodeIgniter. Based on the results of blackbox testing, in general, all menus in the system function properly in accordance with the objectives designed. Based on Usability testing obtained an average value of 75 which indicates that the system can be accepted by users with good classification.","apotek, codeigniter, fefo, inventory, sistem informasi"
", Dr., Ir. Bana Handaga, M.T.",Implementasi Analisis Sentimen Menggunakan Naïve Bayes Terhadap Keluhan Sarana dan Prasarana Di Biro Administrasi Umum Universitas Muhammadiyah Surakarta,"The opinion is the right of human life that existed since birth, but there are still many people who do not realize the freedom of opinion should be balanced with a speech that does not hurt and polite to convey the opinion clearly. Technology development allows people to freely argue that it is no exception on social media. Whatsapp is one of the social media sharing messages that allows users to personally or in a group to convey the opinion, criticism, and suggestion. To utilization opinions to help performance evaluation requires precise analytical techniques in accordance with the data encountered such as sentiment analysis.Therefore, this research conducted a sentiment analysis of complaints in WhatsApp group facilities and infrastructure General Administration Bureau University of Muhammadiyah Surakarta using Naïve Bayes Classifier to suggest BAU increase their performance manage Sarpras in University of Muhammadiyah Surakarta. This research using 420 data with 216 negative labeled data and 204 positive labeled data and resulted in negative sentiment is 70,64% and positive sentiment is 29,37% with an accuracy 69.05%. These result reveal complaints of more satire then performance appreciation.","Analisis Sentimen, Naïve Bayes Classifier, Whatsapp"
", Maryam, S.Kom, M.Eng",Sistem Informasi E-Learning Berbasis Website Untuk SMA Negeri 1 Wonogiri,"The Political and Economic Risk Consultation (PERC) has released survey results that cite the education system in Indonesia from the 12 countries ranked last. The quality of education of several factors, one of which is learning media. This research will lead to the learning media, namely e-learning. Utilization of e-learning will be very helpful in teaching and learning, and can even overcome problems that occur in SMA Negeri 1 Wonogiri. The problem experienced is a compilation of classes that have class hours. Because the teacher faces off, the class does not accept learning. This website-based e-learning information system will be developed using PHP and mySQL using the waterfall method. The results of the black-box test states that the e-learning information system can run according to its function and based on based on Usability testing, the average results are 84, which can be concluded that the system is in the good category and can be accepted by users.","E-Learning, Sistem Informasi, Website"
", Maryam , S.Kom., M.Eng",Implementasi Chatbot Untuk Pemesanan Produk yang Terintegrasi Web Pada Kedai Ibaraki,"Kedai Ibaraki located in Bekonang, Mojolaban, Sukoharjo prioritizes product order transaction services to be an important role in increasing customer satisfaction. At the moment the store is implementing a manual order by which the customer interacts with the barista and the barista records the order and makes the order. That can reduce the performance of the barista, resulting in slow service. Therefore, an order system is needed at the shop that can help the barista in recording customer orders and organizing orders and can provide information about product availability to customers. Researchers use chatbot on the Line application to order products that are integrated with the website as a sales data management and management. This system is designed using XAMPP, PHP, MySQL and Framework Line. Based on the results of the blackbox and SUS testing it can be concluded that the system is running normally and the average result of the percentage of correspondents divided by customers and baristas is 80.33%. It can be concluded that the system is acceptable to Ibaraki customers and can improve barista performance and maximize service.","Chatbot, Laravel, Line, Sistem Informasi"
", Maryam , S.Kom., M.Eng",Rancang Bangun Sistem Informasi Kepegawaian Studi Kasus : PT. Mitra Jasa Indonesia,"PT. Mitra Jasa Indonesia is a company engaged in services in the city of Surakarta. Work activities carried out in the company PT. Mitra Jasa Indonesia includes data collection on employee personal data, employment, salary data, data collection of incoming and outgoing letters, and data collection on clients who understand the company, from salary data it can be printed in the form of salary slips and incoming mail data can be printed. Data collection is still manual that is relying on Ms. Word and Ms. Excel and also the general ledger as a backup of the data. The personnel information system is designed based on manual data collection activities from the company, with the aim that the company can develop according to the modern era where there is a need for a data collection information system to make it easier to carry out activities. The Personnel Information System is designed using the Waterfall method, PHP programming language, Codeigniter framework, Bootstrap design, and a MySql website-based database. The results of the blackbox test were declared valid and the SUS test was categorized as good and acceptable. The personnel information system is able to record all information in the form of employee information, incoming and outgoing letters, types of work, partner clients, and salary calculations for employees, so that the process is more effective, efficient, and maintains the integrity of company data.","Gaji, Kepegawaian, Pendataan, Perusahaan."
", Maryam , S.Kom., M.Eng",Sistem Informasi Perpustakaan Berbasis Web pada SMK Harapan Kartasura,"Libraries are part of learning resources that must be owned by every school and college. Finding information or knowledge through the library makes it easy for students. The function of the library in providing services to students or library users, library processing is faced with various types of administrative problems, ranging from book procurement, book lending services, book returns, the place of the book and the process of making reports. The administrative system in library management is very important for good library services. At the present time, the Harapan Kartasura Vocational School Library is borrowing and returning books and calculating fines are still done manually, recorded in a ledger, as well as when making a book loan report. Thus we need a system that can improve operations in library transactions. This study aims to design and develop a web-based library information system. The development method used is the Waterfall method which consists of needs analysis, design, implementation, testing and maintenance. The results of testing the system using the Black Box method state that this system is feasible to use and runs according to its function. The implementation of the system is expected to facilitate library services at Harapan Kartasura Vocational High School.","Perpustakaan, Sistem informasi, Waterfall."
", Maryam , S.Kom., M.Eng",Sistem Informasi Penyewaan Alat Outdoor Berbasis Web (Studi Kasus : EX Adventure Solo),"EX Adventure Solo is one of the businesses engaged in rental services, namely rental of outdoor equipment for mountain climbing sports. Rental activities are still carried out manually so that it is not optimal, starting from information on the availability of goods, rental management, and the rental process. Customers come to the place to find out the availability of goods for rent and order records are still using books. This study aims to design and build an outdoor equipment rental information system at the EX Adeveture Solo shop. The application of the system is expected to increase business competence. The method used is a waterfall, starting from requirements analysis, design, implementation, testing and maintenance. The system was built using the PHP, HTML, MySQL, Code Igniter Framework and design using CSS Bootstrap. The black box test results show the system is running according to its function and the results of the SUS get an average value of 78 which concluded that the system was accepted by users. This website-based information system for renting outdoor equipment at EX Adventure Solo is made with the aim of making it easier for tenants to find out information on outdoor equipment rental and simplify ordering, as well as for business actors to facilitate data management of goods and ordering so that they are able to present the right information.","EX Adventure Solo, Penyewaan alat – alat outdoor"
", Maryam , S.Kom., M.Eng",Sistem Informasi Analisis Dokumen Rekam Medis Rawat Jalan Secara Kuantitatif (Studi Kasus UPT Puskesmas Pajang Kota Surakarta),"Medical record is a file that contains records and documents about the patient's identity, examination results, treatment that has been given to the patient. One of the benchmarks for quality in health services is the completeness of the contents of the medical record document which will be taken into account during accreditation. The management method to determine the completeness of the contents of the medical record document is by using quantitative analysis. For now, the quantitative analysis of outpatient medical record documents at UPT Puskesmas Pajang is still done conventionally. There are several obstacles in the implementation of these activities, including errors in entering data, missing forms to check, the amount of paper used, and the length of time to analyze. Therefore, to help medical record officers and find solutions to these problems, an information system was created to facilitate medical record officers. The system is designed using the waterfall method and in the process of collecting data using the method of observation, interviews and literature study, while the programming language used is Hypertext Preprocessor (PHP) with CodeIgniter Framework. The system was evaluated using the Black Box Test and User Acceptance Test (UAT) with a percentage value of 89% thus proving that the system in this study can improve the performance of medical record officers at UPT Puskesmas Pajang. The result of this research is an information system with features that can be used to manage medical record documents by means of quantitative analysis so as to get a report in a fast time.","Analisis Kuantitatif, CodeIgniter, Rekam Medis, Sistem Informasi, Waterfall"
", Maryam , S.Kom., M.Eng",PERANCANGAN SISTEM INFORMASI ‘PERPUSTAKAAN MERAH’ IKATAN MAHASISWA MUHAMMADIYAH CABANG KOTA SURAKARTA,"The library is an institution that manages literacy works and aims to increase reading interest and broaden horizons. One of the institutions that actively manages libraries is the Surakarta Branch Muhammadiyah Student Association (IMM) where there are fourteen commissariats, each of which has an active library managing conventional administration. However, there are several obstacles such as the loss of several books due to poor data management so that their lending history is not tracked, data redundancy, and the scope of book lending that only reaches certain groups. The development of a computed library administration system aims to increase efficiency and effectiveness in the administrative process. In addition, the dissemination of book information is also widespread and can be reached by all students, both members and non-members of IMM throughout Surakarta. The system development uses the waterfall method, MySQL database, Code Igniter framework and PHP programming language. Based on the results of the black box testing and user acceptance testing, the library information system of the ""Perpustakaan Merah"" IMM Surakarta City Branch is able to run properly according to its function.","Ikatan Mahasiswa Muhammadiyah, perpustakaan, sistem informasi, metode waterfall."
", Maryam , S.Kom., M.Eng",Sistem Pendukung Keputusan Seleksi Penerima Program Bantuan Sosial Menggunakan Metode SAW,"Social assistance is one of the government's ways to alleviate poverty to meet the needs of people with low economies and increase the standard of living of recipients of social assistance. The process of determining the recipients of social assistance in Sroyo Village still uses manual methods, namely by filling out paper forms, calculating mathematical scores manually and transferring the results obtained to excel format. This will build social worker performance and more opportunities for human error. To overcome this problem, a system that can facilitate the selection process for social assistance recipients in Sroyo Village is needed to make it more effective and efficient. In this case, the decision support system is supported by the Simple Additive Weighting (SAW) method. The results of calculations using the SAW method are obtained recommendations for the names of recipients of social assistance programs based on rankings. Besides, based on the results of black box testing, this system runs according to its function so that social assistance can be distributed on target.","Bantuan Sosial, Black Box, Kemiskinan, Metode SAW, Sistem Pendukung Keputusan"
"-, Dr. Heru Supriyono, S.T., M.Sc.",Rancang Bangun Sistem Piket Kepegawaian Berbasis Web di PT Perusahaan Gas Negara Tbk,"PT Perusahaan Gas Negara TBK or abbreviated as PGN is Badan Usaha Milik Negara (BUMN) which is engaged in the transmission and distribution of natural gas. In this company, there must be several systems in various operations to support employees, but it is different from picket scheduling. Scheduling pickets for national holidays or joint leave is still done manually, whereas for picket scheduling and implementation can sometimes change according to the needs and conditions of employees who are offered picket on that day. This results in different payments at the time of payment for employees who are picket. The purpose of making this system is to  increase the efficiency and accuracy of picket data. The system is created using the waterfall method. The results obtained are reports on the implementation of pickets for payment of employee salary pickets on a certain day for operational safety related to picket and approval of employee picket data in payment of picket wages. System testing is done by testing the blackbox and User Acceptance Test (UAT) from the user's side. From the results of testing on the user's side reached 81.7% it can be concluded that the user strongly agrees that this system can improve the efficiency of employee picket data and increase the level of difficulty in paying employee pickets.","Website, Piket, Jadwal, Realisasi, Laporan"
", Dimas Aryo Anggoro, S.Kom., M.Sc",Augmented Reality Museum Wayang Indonesia,"Museum Wayang is one of the museums located in Indonesia and located in the city of Wonogiri which was inaugurated in 2014. The Museum Wayang presents collections in the form of Puppets from various regions and the legacy of Mr. Ir.Seharto, and there are adequate facilities to introduce the contents from the museum. Many people today have android smartphones, where they can be used for information media. Therefore by utilizing today's technology visitors can feel the sensation of seeing collections in the Museum Wayang in 3D with the help of android applications and Augmented Reality technology. The purpose of this study is to display collections at the Museum Wayang in the form of 3D images.","Museum Wayang, Media Informasi, Augmented Reality, smartphone, Android."
", Husni Thamrin, M.T., Ph. D",Information System For Collecting Inventory And Sharing Resource For Student Organization,"Inventory is something that has value for an organization that must be utilized optimally. Inventory Data should not only be recorded, but managed properly so that it can be accessed anytime accurately, quickly and fully. Good computerized progress is a solution that is by implementing an information system. The management and borrowing of inventories in the student organization of the Muhammadiyah University of Surakarta students still use conventional methods in its inventory recording and lending between the student organizations. This web-based system can then be accessed by the student organization manager as the inventory management and the lending process of borrowing between student organizations. The method used in this system is a method of SDLC (System Development Life Cycle) with a waterfall approach using UML (Unified Modelling Language). System encoding uses the PHP and MySQL programming languages as a database. The result of this research is a web-based inventory lending information system. The system has been through two testing steps secured using black box testing to get valid results and test questionnaires by the student organization administrators get results with an average of 76.69 % stating that the user agrees that the system is to be developed and applied in inventory management and borrowing among student organizations.","Inventory, Landing, PHP, Resource Sharing"
", Nurgiyatna S.T. M.Sc. Ph.D.",Game Edukasi Pengenalan Seni Tari Budaya Indonesia,"Indonesia has many diverse cultures, one of them is dance art that has existed for a long time. Nowadays, many children do not know Indonesian cultural dance because of increasingly advanced technology and the lack of education or teaching by teachers to provide knowledge about the art of cultural dance in Indonesia. By utilizing android as an interactive learning tool. Therefore, a learning game and an introduction to Indonesian Cultural Dance were built to help teachers and students learn material and information about Indonesian Cultural Dance. This educational game is online, this game is created using the Waterfall and Blackbox methods for testing. This game has recognition features and knowledge support, hone and test the ability to learn about Indonesian Cultural Dance. This game is expected to help students be more interactive and easy in learning and understanding the art of cultural dance in Indonesia in the form of android-based media visualization. Based on the results of research using Blackbox that the game Let's Get to Know Indonesian Cultural Dance can run well on android with a minimum specification android 4.4 (Kitkat), 2GB RAM and 16GB Memory so that it can be played smoothly.","Educational Game, The Art of Indonesian Cultural Dance, Construct2"
", Nurgiyatna S.T. M.Sc. Ph.D.",Sistem Informasi Penjualan Ikan Kelompok Petani Keramba Jaring Apung Desa Wonoharjo Berbasis Website,"Technological developments in the current era of globalization continue to develop rapidly, not to mention the fields that move in freshwater fish farming. The sale of fish that still uses the conventional system is considered outdated and inefficient in conveying fish information. Because consumers want the delivery of information that is fast and can be accessed wherever and whenever. The fish sales information system developed is guided by the rapid delivery of information, so that it adapts real-time features and updates. This information system uses the website as its base. In the development of fish sales information systems using the waterfall method and using PHP, javascript and HTML in writing programs. To find out the advantages and  disadvantages  of  this  information  system,  it  uses  an  analysis  of the benefits  using  a questionnaire given to 30 respondents, then the results obtained from the questionnaire are then processed so that a conclusion is drawn that this information system can help in purchasing fish and the information contained therein is easy to understand.","HTML,  javascript, real-time, PHP, sistem informasi, update, waterfall, website"
", Nurgiyatna S.T. M.Sc. Ph.D.",Sistem Informasi Persewaan Mobil Berbasis Web di Alaf Transport,"Persewaan mobil adalah prasarana bagi masyarakat ataupun suatu perusahaan untuk menunjang kebutuhan. Alaf transport adalah perusahaan jasa persewaan mobil yang beralamat di dusun Bolon kecamatan Colomadu kabupaten Karanganyar. Media promosi pada Alaf transport saat ini kurang efektif karena hanya melalui mulut ke mulut. Proses persewaan mobil pada Alaf transport juga masih menggunakan cara manual, yaitu melalui whatsapp atau datang langsung ke tempat. Untuk pemesanan melalui whatsapp  membutuhkan waktu yang lama untuk mendapatkan informasi tentang mobil apa yang tersedia. Untuk mengatasi masalah tersebut perlu dibuatnya sistem informasi berbasis web untuk memudahkan masyarakat untuk mencari mobil untuk disewa agar sesuai dengan kebutuhannya, sehingga dapat menghemat waktu dan dapat membantu proses persewaan. Proses sewa, transaksi dan pembuatan kuitansi sudah secara otomatis sehingga pegawai tidak perlu menulis manual. Dirancang menggunakan bahasa pemrograman Hypertext Prepocessor (PHP), framework CodeIgniter, dan database MySql serta melalui metode Waterfall. Pengujian sistem dengan metode pendekatan Black Box. Hasil akhir dari penelitian ini adalah sebuah sistem informasi untuk user dan admin dalam melakukan kegiatan pemesanan di alaf transport.","CodeIgniter, Sistem informasi, persewaaan mobil"
